Critic_Score,Platform,Genre,Publisher,Name,Global_Sales
76.0,Wii,Sports,Nintendo,Wii Sports,82.53
82.0,Wii,Racing,Nintendo,Mario Kart Wii,35.52
80.0,Wii,Sports,Nintendo,Wii Sports Resort,32.77
89.0,DS,Platform,Nintendo,New Super Mario Bros.,29.8
58.0,Wii,Misc,Nintendo,Wii Play,28.92
87.0,Wii,Platform,Nintendo,New Super Mario Bros. Wii,28.32
91.0,DS,Racing,Nintendo,Mario Kart DS,23.21
80.0,Wii,Sports,Nintendo,Wii Fit,22.7
61.0,X360,Misc,Microsoft Game Studios,Kinect Adventures!,21.81
80.0,Wii,Sports,Nintendo,Wii Fit Plus,21.79
97.0,PS3,Action,Take-Two Interactive,Grand Theft Auto V,21.04
95.0,PS2,Action,Take-Two Interactive,Grand Theft Auto: San Andreas,20.81
77.0,DS,Misc,Nintendo,Brain Age: Train Your Brain in Minutes a Day,20.15
97.0,X360,Action,Take-Two Interactive,Grand Theft Auto V,16.27
95.0,PS2,Action,Take-Two Interactive,Grand Theft Auto: Vice City,16.15
77.0,DS,Puzzle,Nintendo,Brain Age 2: More Training in Minutes a Day,15.29
95.0,PS2,Racing,Sony Computer Entertainment,Gran Turismo 3: A-Spec,14.98
88.0,X360,Shooter,Activision,Call of Duty: Modern Warfare 3,14.73
87.0,X360,Shooter,Activision,Call of Duty: Black Ops,14.61
83.0,PS3,Shooter,Activision,Call of Duty: Black Ops II,13.79
83.0,X360,Shooter,Activision,Call of Duty: Black Ops II,13.67
94.0,X360,Shooter,Activision,Call of Duty: Modern Warfare 2,13.47
88.0,PS3,Shooter,Activision,Call of Duty: Modern Warfare 3,13.32
97.0,PS2,Action,Take-Two Interactive,Grand Theft Auto III,13.1
93.0,Wii,Fighting,Nintendo,Super Smash Bros. Brawl,12.84
85.0,3DS,Racing,Nintendo,Mario Kart 7,12.66
88.0,PS3,Shooter,Activision,Call of Duty: Black Ops,12.63
97.0,PS4,Action,Take-Two Interactive,Grand Theft Auto V,12.61
86.0,DS,Simulation,Nintendo,Animal Crossing: Wild World,12.13
94.0,X360,Shooter,Microsoft Game Studios,Halo 3,12.12
89.0,PS2,Racing,Sony Computer Entertainment,Gran Turismo 4,11.66
97.0,Wii,Platform,Nintendo,Super Mario Galaxy,11.35
98.0,X360,Action,Take-Two Interactive,Grand Theft Auto IV,11.01
96.0,PS,Racing,Sony Computer Entertainment,Gran Turismo,10.95
90.0,3DS,Platform,Nintendo,Super Mario 3D Land,10.81
84.0,PS3,Racing,Sony Computer Entertainment,Gran Turismo 5,10.7
94.0,PS3,Shooter,Activision,Call of Duty: Modern Warfare 2,10.6
98.0,PS3,Action,Take-Two Interactive,Grand Theft Auto IV,10.5
73.0,X360,Shooter,Activision,Call of Duty: Ghosts,10.25
74.0,Wii,Misc,Ubisoft,Just Dance 3,10.12
78.0,3DS,Platform,Nintendo,New Super Mario Bros. 2,9.9
91.0,X360,Shooter,Microsoft Game Studios,Halo: Reach,9.86
92.0,PS,Role-Playing,Sony Computer Entertainment,Final Fantasy VII,9.72
87.0,X360,Shooter,Microsoft Game Studios,Halo 4,9.71
93.0,PS,Racing,Sony Computer Entertainment,Gran Turismo 2,9.49
74.0,Wii,Misc,Ubisoft,Just Dance 2,9.44
71.0,PS3,Shooter,Activision,Call of Duty: Ghosts,9.36
94.0,X360,Shooter,Activision,Call of Duty 4: Modern Warfare,9.31
88.0,3DS,Simulation,Nintendo,Animal Crossing: New Leaf,9.16
72.0,DS,Misc,Nintendo,Mario Party DS,8.91
96.0,X360,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,8.79
82.0,PS4,Sports,Electronic Arts,FIFA 16,8.57
95.0,XB,Shooter,Microsoft Game Studios,Halo 2,8.49
68.0,Wii,Misc,Nintendo,Wii Party,8.38
62.0,Wii,Misc,Nintendo,Mario Party 8,8.27
88.0,PS3,Action,Electronic Arts,FIFA Soccer 13,8.16
92.0,PS2,Role-Playing,Sony Computer Entertainment,Final Fantasy X,8.05
86.0,PC,Simulation,Electronic Arts,The Sims 3,8.01
90.0,PS,Role-Playing,Other,Final Fantasy VIII,7.86
83.0,DS,Role-Playing,Nintendo,Pokémon Platinum Version,7.72
88.0,PSP,Action,Take-Two Interactive,Grand Theft Auto: Liberty City Stories,7.69
83.0,PS4,Shooter,Activision,Call of Duty: Advanced Warfare,7.66
85.0,PS4,Sports,Electronic Arts,FIFA 17,7.59
97.0,Wii,Platform,Nintendo,Super Mario Galaxy 2,7.51
84.0,X360,Shooter,Activision,Call of Duty: World at War,7.38
84.0,X360,Shooter,Electronic Arts,Battlefield 3,7.32
85.0,PS2,Racing,Electronic Arts,Need for Speed Underground,7.2
49.0,Wii,Misc,Ubisoft,Just Dance,7.2
85.0,PS3,Shooter,Electronic Arts,Battlefield 3,7.17
87.0,PS4,Role-Playing,Bethesda Softworks,Fallout 4,7.16
96.0,PS,Fighting,Sony Computer Entertainment,Tekken 3,7.16
95.0,Wii,Action,Nintendo,The Legend of Zelda: Twilight Princess,7.15
91.0,PS,Platform,Sony Computer Entertainment,Crash Bandicoot 3: Warped,7.13
88.0,WiiU,Racing,Nintendo,Mario Kart 8,7.09
92.0,GC,Fighting,Nintendo,Super Smash Bros. Melee,7.07
82.0,PS2,Racing,Electronic Arts,Need for Speed Underground 2,6.9
88.0,PS2,Shooter,Electronic Arts,Medal of Honor: Frontline,6.83
74.0,Wii,Misc,Ubisoft,Just Dance 4,6.76
93.0,X360,Shooter,Microsoft Game Studios,Gears of War 2,6.75
92.0,PS3,Action,Sony Computer Entertainment,Uncharted 3: Drake's Deception,6.74
94.0,PS3,Shooter,Activision,Call of Duty 4: Modern Warfare,6.68
96.0,PS3,Action,Sony Computer Entertainment,Uncharted 2: Among Thieves,6.66
74.0,DS,Misc,Nintendo,Big Brain Academy,6.62
95.0,PS3,Action,Take-Two Interactive,Red Dead Redemption,6.49
86.0,PS3,Sports,Electronic Arts,FIFA 14,6.47
